date,risk_off,halted,n_held,narratives
2021-02-01,True,False,0,CASH
2021-02-15,True,False,0,CASH
2021-03-01,True,False,0,CASH
2021-03-15,True,False,0,CASH
2021-03-29,True,False,0,CASH
2021-04-12,True,False,0,CASH
2021-04-26,True,False,0,CASH
2021-05-10,True,False,0,CASH
2021-05-24,True,False,0,CASH
2021-06-07,True,False,0,CASH
2021-06-21,True,False,0,CASH
2021-07-05,True,False,0,CASH
2021-07-19,True,False,0,CASH
2021-08-02,True,False,0,CASH
2021-08-16,False,False,10,"AXS, ETH, UNI, KAVA, AVAX, ROSE, TWT, AAVE, CAKE, DOT"
2021-08-30,False,False,10,"AXS, AVAX, TWT, ADA, FET, KAVA, ETH, CAKE, SUSHI, ATOM"
2021-09-13,False,False,10,"AXS, TWT, AVAX, FET, ROSE, ETH, DOT, ADA, XRP, INJ"
2021-09-27,True,False,0,CASH
2021-10-11,False,False,10,"AVAX, AXS, ATOM, SHIB, ROSE, TWT, FET, DOT, ADA, XRP"
2021-10-25,False,False,10,"SHIB, AVAX, DOT, ATOM, ETH, AXS, LTC, ROSE, TRX, DUSK"
2021-11-08,False,False,10,"SHIB, AXS, ETH, DOT, ZEC, 1INCH, LINK, LTC, AVAX, DOGE"
2021-11-22,False,False,10,"SHIB, AXS, DUSK, AVAX, LTC, ETH, ZEC, BAT, TRX, DOT"
2021-12-06,False,False,10,"SHIB, AVAX, BAT, DUSK, ZEC, ETH, ROSE, AXS, SFP, DEXE"
2021-12-20,False,False,7,"DUSK, AVAX, BAT, ROSE, USDC, ETH, TUSD"
2022-01-03,True,False,0,CASH
2022-01-17,True,False,0,CASH
2022-01-31,True,False,0,CASH
2022-02-14,True,False,0,CASH
2022-02-28,True,False,0,CASH
2022-03-14,True,False,0,CASH
2022-03-28,True,False,0,CASH
2022-04-11,True,False,0,CASH
2022-04-25,True,False,0,CASH
2022-05-09,True,False,0,CASH
2022-05-23,True,False,0,CASH
2022-06-06,True,False,0,CASH
2022-06-20,True,False,0,CASH
2022-07-04,True,False,0,CASH
2022-07-18,True,False,0,CASH
2022-08-01,True,False,0,CASH
2022-08-15,True,False,0,CASH
2022-08-29,True,False,0,CASH
2022-09-12,True,False,0,CASH
2022-09-26,True,False,0,CASH
2022-10-10,True,False,0,CASH
2022-10-24,True,False,0,CASH
2022-11-07,True,False,0,CASH
2022-11-21,True,False,0,CASH
2022-12-05,True,False,0,CASH
2022-12-19,True,False,0,CASH
2023-01-02,True,False,0,CASH
2023-01-16,False,False,10,"FET, LTC, LDO, APE, ETH, ATOM, ADA, SFP, ZIL, ZEC"
2023-01-30,False,False,10,"FET, SHIB, ETH, AAVE, LDO, APE, BCH, ADA, DOT, SNX"
2023-02-13,False,False,10,"FET, INJ, SHIB, LDO, ZIL, AVAX, STG, ADA, SNX, ATOM"
2023-02-27,False,False,10,"ACH, INJ, FET, STG, LDO, FIL, DUSK, ZIL, RAY, ROSE"
2023-03-13,False,False,10,"ACH, FET, YFI, INJ, SNX, RAY, DUSK, STG, LINK, LDO"
2023-03-27,False,False,10,"ACH, INJ, DUSK, ETH, XRP, SNX, YFI, BCH, LINK, FIL"
2023-04-10,False,False,9,"XRP, INJ, ACH, ETH, DOGE, ADA, LINK, LTC, YFI"
2023-04-24,False,False,10,"INJ, ACH, ETH, ADA, AVAX, XRP, LINK, YFI, ROSE, DOT"
2023-05-08,False,False,8,"INJ, XRP, TRX, ADA, ETH, LINK, DOGE, DEXE"
2023-05-22,False,False,9,"TRX, ETH, KAVA, ADA, INJ, USDC, LTC, XRP, TUSD"
2023-06-05,False,False,9,"KAVA, TRX, ETH, XRP, INJ, LTC, ADA, LDO, USDC"
2023-06-19,False,False,3,"XRP, USDC, TRX"
2023-07-03,False,False,10,"BCH, TRX, SFP, XRP, ETH, KAVA, USDC, UNI, LTC, ETC"
2023-07-17,False,False,10,"BCH, COMP, TRX, INJ, ETH, LTC, YFI, XRP, AAVE, ETC"
2023-07-31,False,False,10,"BCH, COMP, XRP, DOGE, INJ, SNX, LINK, UNI, ETH, TRX"
2023-08-14,False,False,10,"BCH, SHIB, XRP, LINK, DOGE, COMP, UNI, SNX, USDC, STG"
2023-08-28,True,False,0,CASH
2023-09-11,True,False,0,CASH
2023-09-25,True,False,0,CASH
2023-10-09,True,False,0,CASH
2023-10-23,False,False,10,"TRX, PENDLE, TWT, SFP, LINK, BCH, AAVE, BAT, FDUSD, INJ"
2023-11-06,False,False,10,"INJ, LINK, FLOKI, FET, TRX, PENDLE, SFP, ADA, ETH, AXS"
2023-11-20,False,False,10,"LINK, INJ, ADA, PENDLE, XRP, ROSE, 1INCH, FIL, TRX, ETH"
2023-12-04,False,False,10,"FET, AVAX, ROSE, INJ, LINK, ADA, AXS, FLOKI, SUSHI, SNX"
2023-12-18,False,False,10,"AVAX, INJ, CAKE, DEXE, RAY, ADA, LUNC, SNX, DOT, DOGE"
2024-01-01,False,False,10,"AVAX, RAY, INJ, ROSE, DOT, FET, ADA, AXS, UNI, CAKE"
2024-01-15,False,False,10,"AVAX, INJ, RAY, CAKE, ADA, FET, DOT, ROSE, FIL, LUNC"
2024-01-29,False,False,10,"RAY, PENDLE, INJ, USDC, ETH, TRX, ETC, LINK, FDUSD, DUSK"
2024-02-12,False,False,10,"PENDLE, DUSK, TRX, LINK, RAY, USDC, INJ, AVAX, ROSE, ETC"
2024-02-26,False,False,10,"TRX, PENDLE, ETH, DUSK, LINK, FIL, FET, STG, TWT, ETC"
2024-03-11,False,False,10,"ETH, SHIB, TRX, BONK, DOGE, FLOKI, FET, ETC, FIL, ADA"
2024-03-25,False,False,10,"FET, FLOKI, DEXE, RAY, SHIB, AVAX, UNI, DOGE, ETH, ACH"
2024-04-08,False,False,10,"FLOKI, DEXE, FET, SHIB, BCH, DOGE, PENDLE, UNI, BONK, RAY"
2024-04-22,False,False,10,"DEXE, PENDLE, FLOKI, FET, BCH, DOGE, SHIB, USDC, RAY, TUSD"
2024-05-06,False,False,10,"FLOKI, DEXE, SHIB, PENDLE, BCH, DOGE, BONK, ETH, USDC, FDUSD"
2024-05-20,False,False,4,"TRX, PENDLE, SFP, USDC"
2024-06-03,False,False,10,"BONK, FLOKI, ETH, LINK, PENDLE, UNI, ZEC, SFP, ETC, AAVE"
2024-06-17,False,False,10,"FLOKI, ETH, DUSK, ROSE, UNI, INJ, BONK, LINK, STG, TWT"
2024-07-01,False,False,6,"ETH, LDO, PENDLE, USDC, UNI, FDUSD"
2024-07-15,False,False,4,"TRX, TUSD, SFP, FDUSD"
2024-07-29,False,False,10,"XRP, TRX, ZEC, RAY, TUSD, ADA, ETH, 1INCH, BONK, AAVE"
2024-08-12,True,False,0,CASH
2024-08-26,True,False,0,CASH
2024-09-09,True,False,0,CASH
2024-09-23,True,False,0,CASH
2024-10-07,True,False,0,CASH
2024-10-21,False,False,10,"TRX, TWT, AVAX, FET, PENDLE, SHIB, DOGE, AAVE, UNI, ROSE"
2024-11-04,False,False,10,"RAY, DOGE, SHIB, PENDLE, ZEC, ETH, UNI, TWT, TRX, LUNC"
2024-11-18,False,False,10,"DOGE, RAY, SHIB, ADA, ETH, BCH, AVAX, ZEC, LINK, DOT"
2024-12-02,False,False,10,"DOGE, ADA, XRP, RAY, DOT, ATOM, APE, ETC, BONK, AVAX"
2024-12-16,False,False,10,"DOGE, XRP, ADA, SUSHI, BCH, DOT, YFI, ETH, LINK, UNI"
2024-12-30,False,False,10,"XRP, AAVE, ADA, DOGE, LINK, UNI, ETH, SUSHI, COMP, ZEC"
2025-01-13,False,False,10,"XRP, ADA, TRX, DEXE, SUSHI, DOGE, AAVE, LINK, YFI, STG"
2025-01-27,False,False,10,"XRP, DEXE, AAVE, LINK, ADA, RAY, LTC, COMP, LDO, USDC"
2025-02-10,False,False,5,"DEXE, XRP, ACH, RAY, LINK"
2025-02-24,False,False,8,"DEXE, LTC, EURI, CAKE, LDO, XRP, ACH, KAVA"
2025-03-10,True,False,0,CASH
2025-03-24,True,False,0,CASH
2025-04-07,True,False,0,CASH
2025-04-21,True,False,0,CASH
2025-05-05,False,False,10,"PENGU, RAY, BONK, EURI, FET, FLOKI, XRP, PENDLE, BCH, TRX"
2025-05-19,False,False,10,"FDUSD, PENGU, FLOKI, FET, TRX, BONK, INJ, RAY, ETH, CAKE"
2025-06-02,False,False,10,"AAVE, ETH, PENGU, ZEC, FET, TRX, INJ, PENDLE, RAY, FLOKI"
2025-06-16,False,False,10,"ETH, AAVE, FORM, APE, TRX, INJ, PENGU, ZEC, BCH, FET"
2025-06-30,False,False,10,"BANANAS31, EURI, BCH, ETH, AAVE, FORM, TRX, FDUSD, COMP, UNI"
2025-07-14,False,False,10,"EURI, BCH, TRX, BANANAS31, BONK, AAVE, ETH, PENGU, XRP, UNI"
2025-07-28,False,False,10,"PENGU, ETH, XRP, BONK, UNI, ADA, LINK, TRX, DOGE, LTC"
2025-08-11,False,False,10,"PENGU, ETH, LTC, TRX, FORM, BCH, UNI, XRP, LINK, ADA"
2025-08-25,False,False,10,"HOME, PENGU, LINK, ETH, ADA, FORM, TRX, PENDLE, XRP, LDO"
2025-09-08,False,False,10,"ETH, LINK, HOME, TRX, ADA, AVAX, RAY, USDC, PENGU, AAVE"
2025-09-22,False,False,10,"DOGE, ETH, LINK, AVAX, ZEC, BCH, ADA, HOME, PENDLE, DOT"
2025-10-06,False,False,10,"TWT, AVAX, ZEC, ZRO, SNX, DEXE, TUSD, USD1, DOGE, HUMA"
2025-10-20,False,False,10,"ZEC, SNX, TWT, BAT, CAKE, ETH, STG, TUSD, DOGE, XRP"
2025-11-03,False,False,10,"ZEC, TWT, USD1, USDC, SNX, FDUSD, BAT, TUSD, XUSD, BCH"
2025-11-17,True,False,0,CASH
2025-12-01,True,False,0,CASH
2025-12-15,True,False,0,CASH
2025-12-29,True,False,0,CASH
2026-01-12,True,False,0,CASH
2026-01-26,True,False,0,CASH
2026-02-09,True,False,0,CASH
2026-02-23,True,False,0,CASH
2026-03-09,True,False,0,CASH
2026-03-23,True,False,0,CASH
2026-04-06,True,False,0,CASH
2026-04-20,True,False,0,CASH
2026-05-04,True,False,0,CASH
2026-05-18,True,False,0,CASH
2026-06-01,True,False,0,CASH
2026-06-15,True,False,0,CASH
